iteration,log_likelihood,network_size,parameters,description
85,-3.3329029971491773,12,5000_2500_1_0.2_0.1_100,
86,-3.3329029971491773,12,5000_2500_1_0.2_0.1_100,
87,-3.3329029971491773,12,5000_2500_1_0.2_0.1_100,
88,-3.3329029971491773,12,5000_2500_1_0.2_0.1_100,
89,-3.332902997149177,12,5000_2500_1_0.2_0.1_100,
90,-3.332902997149177,12,5000_2500_1_0.2_0.1_100,
91,-3.332902997149177,12,5000_2500_1_0.2_0.1_100,
92,-3.332902997149177,12,5000_2500_1_0.2_0.1_100,
93,-3.332902997149177,12,5000_2500_1_0.2_0.1_100,
94,-3.332902997149177,12,5000_2500_1_0.2_0.1_100,
95,-3.332902997149177,12,5000_2500_1_0.2_0.1_100,
96,-3.332902997149177,12,5000_2500_1_0.2_0.1_100,
97,-3.3329029971491773,12,5000_2500_1_0.2_0.1_100,
98,-3.3329029971491773,12,5000_2500_1_0.2_0.1_100,
99,-3.6893987133152497,13,5000_2500_1_0.2_0.1_100,
100,-3.6893987133152497,13,5000_2500_1_0.2_0.1_100,
101,-3.6893987133152497,13,5000_2500_1_0.2_0.1_100,
102,-3.6893987133152497,13,5000_2500_1_0.2_0.1_100,
103,-3.6893987133152497,13,5000_2500_1_0.2_0.1_100,
104,-3.6893987133152497,13,5000_2500_1_0.2_0.1_100,
105,-3.6893987133152497,13,5000_2500_1_0.2_0.1_100,
106,-3.6893987133152497,13,5000_2500_1_0.2_0.1_100,
107,-3.6893987133152497,13,5000_2500_1_0.2_0.1_100,
108,-3.6893987133152497,13,5000_2500_1_0.2_0.1_100,
109,-3.6893987133152497,13,5000_2500_1_0.2_0.1_100,
110,-3.68939871331525,13,5000_2500_1_0.2_0.1_100,
111,-3.68939871331525,13,5000_2500_1_0.2_0.1_100,
112,-3.6893987133152497,13,5000_2500_1_0.2_0.1_100,
113,-3.6893987133152497,13,5000_2500_1_0.2_0.1_100,
114,-4.2926111484736325,14,5000_2500_1_0.2_0.1_100,
115,-4.2926111484736325,14,5000_2500_1_0.2_0.1_100,
116,-4.2926111484736325,14,5000_2500_1_0.2_0.1_100,
117,-4.2926111484736325,14,5000_2500_1_0.2_0.1_100,
118,-4.292611148473632,14,5000_2500_1_0.2_0.1_100,
119,-4.292611148473632,14,5000_2500_1_0.2_0.1_100,
120,-4.292611148473632,14,5000_2500_1_0.2_0.1_100,
121,-4.2926111484736325,14,5000_2500_1_0.2_0.1_100,
122,-4.292611148473632,14,5000_2500_1_0.2_0.1_100,
123,-4.292611148473632,14,5000_2500_1_0.2_0.1_100,
124,-4.522995404893762,15,5000_2500_1_0.2_0.1_100,
125,-4.522995404893762,15,5000_2500_1_0.2_0.1_100,
126,-4.522995404893763,15,5000_2500_1_0.2_0.1_100,
127,-4.522995404893763,15,5000_2500_1_0.2_0.1_100,
128,-4.522995404893762,15,5000_2500_1_0.2_0.1_100,
129,-4.522995404893763,15,5000_2500_1_0.2_0.1_100,
130,-4.522995404893763,15,5000_2500_1_0.2_0.1_100,
131,-4.522995404893763,15,5000_2500_1_0.2_0.1_100,
132,-4.522995404893763,15,5000_2500_1_0.2_0.1_100,
133,-4.522995404893763,15,5000_2500_1_0.2_0.1_100,
134,-4.906740763503265,16,5000_2500_1_0.2_0.1_100,
135,-4.906740763503265,16,5000_2500_1_0.2_0.1_100,
136,-4.906740763503265,16,5000_2500_1_0.2_0.1_100,
137,-4.906740763503264,16,5000_2500_1_0.2_0.1_100,
138,-4.906740763503264,16,5000_2500_1_0.2_0.1_100,
139,-4.906740763503264,16,5000_2500_1_0.2_0.1_100,
140,-4.906740763503264,16,5000_2500_1_0.2_0.1_100,
141,-4.906740763503264,16,5000_2500_1_0.2_0.1_100,
142,-5.445558036434726,17,5000_2500_1_0.2_0.1_100,
143,-5.445558036434725,17,5000_2500_1_0.2_0.1_100,
144,-5.445558036434725,17,5000_2500_1_0.2_0.1_100,
145,-5.445558036434725,17,5000_2500_1_0.2_0.1_100,
146,-5.445558036434725,17,5000_2500_1_0.2_0.1_100,
147,-5.445558036434725,17,5000_2500_1_0.2_0.1_100,
148,-5.445558036434725,17,5000_2500_1_0.2_0.1_100,
149,-5.694759623722107,18,5000_2500_1_0.2_0.1_100,
150,-5.694759623722108,18,5000_2500_1_0.2_0.1_100,
151,-5.694759623722108,18,5000_2500_1_0.2_0.1_100,
152,-5.694759623722108,18,5000_2500_1_0.2_0.1_100,
153,-5.694759623722108,18,5000_2500_1_0.2_0.1_100,
154,-5.694759623722108,18,5000_2500_1_0.2_0.1_100,
155,-5.694759623722108,18,5000_2500_1_0.2_0.1_100,
156,-5.694759623722108,18,5000_2500_1_0.2_0.1_100,
157,-5.694759623722108,18,5000_2500_1_0.2_0.1_100,
158,-5.694759623722108,18,5000_2500_1_0.2_0.1_100,
159,-5.830264641963392,19,5000_2500_1_0.2_0.1_100,
160,-6.288543052424104,20,5000_2500_1_0.2_0.1_100,
161,-6.288543052424104,20,5000_2500_1_0.2_0.1_100,
162,-6.504809427300215,21,5000_2500_1_0.2_0.1_100,
163,-6.504809427300215,21,5000_2500_1_0.2_0.1_100,
164,-6.7447175652303955,22,5000_2500_1_0.2_0.1_100,
165,-6.7447175652303955,22,5000_2500_1_0.2_0.1_100,
166,-6.947062601589614,23,5000_2500_1_0.2_0.1_100,
167,-6.947062601589614,23,5000_2500_1_0.2_0.1_100,
168,-6.947062601589615,23,5000_2500_1_0.2_0.1_100,
169,-6.947062601589615,23,5000_2500_1_0.2_0.1_100,
170,-6.947062601589614,23,5000_2500_1_0.2_0.1_100,
171,-6.947062601589615,23,5000_2500_1_0.2_0.1_100,
172,-6.947062601589615,23,5000_2500_1_0.2_0.1_100,
173,-6.947062601589615,23,5000_2500_1_0.2_0.1_100,
174,-6.9470626015896135,23,5000_2500_1_0.2_0.1_100,
175,-6.9470626015896135,23,5000_2500_1_0.2_0.1_100,
176,-6.9470626015896135,23,5000_2500_1_0.2_0.1_100,
177,-6.9470626015896135,23,5000_2500_1_0.2_0.1_100,
178,-6.9470626015896135,23,5000_2500_1_0.2_0.1_100,
179,-6.9470626015896135,23,5000_2500_1_0.2_0.1_100,
180,-6.947062601589614,23,5000_2500_1_0.2_0.1_100,
181,-6.947062601589613,23,5000_2500_1_0.2_0.1_100,
182,-6.947062601589613,23,5000_2500_1_0.2_0.1_100,
183,-6.947062601589613,23,5000_2500_1_0.2_0.1_100,
184,-7.122133220032466,24,5000_2500_1_0.2_0.1_100,
185,-7.122133220032466,24,5000_2500_1_0.2_0.1_100,
186,-7.122133220032466,24,5000_2500_1_0.2_0.1_100,
187,-7.529733604717435,25,5000_2500_1_0.2_0.1_100,
188,-7.529733604717435,25,5000_2500_1_0.2_0.1_100,
189,-7.529733604717435,25,5000_2500_1_0.2_0.1_100,
190,-7.866356417051931,26,5000_2500_1_0.2_0.1_100,
191,-7.866356417051931,26,5000_2500_1_0.2_0.1_100,
192,-7.866356417051931,26,5000_2500_1_0.2_0.1_100,
193,-7.866356417051931,26,5000_2500_1_0.2_0.1_100,
194,-7.866356417051932,26,5000_2500_1_0.2_0.1_100,
195,-7.866356417051932,26,5000_2500_1_0.2_0.1_100,
196,-7.866356417051932,26,5000_2500_1_0.2_0.1_100,
197,-7.866356417051933,26,5000_2500_1_0.2_0.1_100,
198,-7.866356417051933,26,5000_2500_1_0.2_0.1_100,
199,-8.010519498035336,27,5000_2500_1_0.2_0.1_100,
200,-8.010519498035336,27,5000_2500_1_0.2_0.1_100,
201,-8.010519498035336,27,5000_2500_1_0.2_0.1_100,
202,-8.281199294628298,28,5000_2500_1_0.2_0.1_100,
203,-8.281199294628298,28,5000_2500_1_0.2_0.1_100,
204,-8.281199294628298,28,5000_2500_1_0.2_0.1_100,
205,-8.281199294628298,28,5000_2500_1_0.2_0.1_100,
206,-8.281199294628298,28,5000_2500_1_0.2_0.1_100,
207,-8.281199294628298,28,5000_2500_1_0.2_0.1_100,
208,-8.2811992946283,28,5000_2500_1_0.2_0.1_100,
209,-8.2811992946283,28,5000_2500_1_0.2_0.1_100,
210,-8.2811992946283,28,5000_2500_1_0.2_0.1_100,
211,-8.395381543403179,29,5000_2500_1_0.2_0.1_100,
212,-8.395381543403179,29,5000_2500_1_0.2_0.1_100,
213,-8.395381543403179,29,5000_2500_1_0.2_0.1_100,
214,-8.395381543403177,29,5000_2500_1_0.2_0.1_100,
215,-8.395381543403179,29,5000_2500_1_0.2_0.1_100,
216,-8.395381543403179,29,5000_2500_1_0.2_0.1_100,
217,-8.669356235892561,30,5000_2500_1_0.2_0.1_100,
218,-8.66935623589256,30,5000_2500_1_0.2_0.1_100,
219,-8.669356235892561,30,5000_2500_1_0.2_0.1_100,
220,-8.669356235892561,30,5000_2500_1_0.2_0.1_100,
221,-8.669356235892561,30,5000_2500_1_0.2_0.1_100,
222,-8.669356235892561,30,5000_2500_1_0.2_0.1_100,
223,-8.787766820776486,31,5000_2500_1_0.2_0.1_100,
224,-8.787766820776486,31,5000_2500_1_0.2_0.1_100,
225,-8.787766820776486,31,5000_2500_1_0.2_0.1_100,
226,-8.861701079406972,32,5000_2500_1_0.2_0.1_100,
227,-8.861701079406972,32,5000_2500_1_0.2_0.1_100,
228,-9.045780767791111,33,5000_2500_1_0.2_0.1_100,
229,-9.045780767791111,33,5000_2500_1_0.2_0.1_100,
230,-9.045780767791111,33,5000_2500_1_0.2_0.1_100,
231,-9.045780767791111,33,5000_2500_1_0.2_0.1_100,
232,-9.045780767791111,33,5000_2500_1_0.2_0.1_100,
233,-9.27774605220836,34,5000_2500_1_0.2_0.1_100,
234,-9.27774605220836,34,5000_2500_1_0.2_0.1_100,
235,-9.27774605220836,34,5000_2500_1_0.2_0.1_100,
236,-9.27774605220836,34,5000_2500_1_0.2_0.1_100,
237,-9.369124198236118,35,5000_2500_1_0.2_0.1_100,
238,-9.369124198236118,35,5000_2500_1_0.2_0.1_100,
239,-9.65806176340023,36,5000_2500_1_0.2_0.1_100,
240,-9.87432813827634,37,5000_2500_1_0.2_0.1_100,
241,-9.87432813827634,37,5000_2500_1_0.2_0.1_100,
242,-9.87432813827634,37,5000_2500_1_0.2_0.1_100,
243,-10.014152817661644,38,5000_2500_1_0.2_0.1_100,
244,-10.014152817661644,38,5000_2500_1_0.2_0.1_100,
245,-10.014152817661644,38,5000_2500_1_0.2_0.1_100,
246,-10.014152817661646,38,5000_2500_1_0.2_0.1_100,
247,-10.381459449930382,39,5000_2500_1_0.2_0.1_100,
248,-10.381459449930382,39,5000_2500_1_0.2_0.1_100,
249,-10.645581845978043,40,5000_2500_1_0.2_0.1_100,
250,-10.829661534362184,41,5000_2500_1_0.2_0.1_100,
251,-10.829661534362184,41,5000_2500_1_0.2_0.1_100,
252,-10.829661534362184,41,5000_2500_1_0.2_0.1_100,
253,-10.829661534362184,41,5000_2500_1_0.2_0.1_100,
254,-10.829661534362184,41,5000_2500_1_0.2_0.1_100,
255,-11.269850580155618,42,5000_2500_1_0.2_0.1_100,
256,-11.519374176784012,43,5000_2500_1_0.2_0.1_100,
257,-11.519374176784012,43,5000_2500_1_0.2_0.1_100,
258,-11.519374176784012,43,5000_2500_1_0.2_0.1_100,
259,-11.519374176784012,43,5000_2500_1_0.2_0.1_100,
260,-11.823501907440056,44,5000_2500_1_0.2_0.1_100,
261,-11.823501907440056,44,5000_2500_1_0.2_0.1_100,
262,-11.823501907440056,44,5000_2500_1_0.2_0.1_100,
263,-11.914880053467812,45,5000_2500_1_0.2_0.1_100,
264,-11.914880053467812,45,5000_2500_1_0.2_0.1_100,
265,-11.914880053467812,45,5000_2500_1_0.2_0.1_100,
266,-11.914880053467812,45,5000_2500_1_0.2_0.1_100,
267,-11.914880053467812,45,5000_2500_1_0.2_0.1_100,
268,-11.914880053467812,45,5000_2500_1_0.2_0.1_100,
269,-11.914880053467812,45,5000_2500_1_0.2_0.1_100,
270,-11.914880053467812,45,5000_2500_1_0.2_0.1_100,
271,-11.914880053467812,45,5000_2500_1_0.2_0.1_100,
272,-11.914880053467812,45,5000_2500_1_0.2_0.1_100,
273,-11.914880053467812,45,5000_2500_1_0.2_0.1_100,
274,-11.914880053467812,45,5000_2500_1_0.2_0.1_100,
275,-11.914880053467812,45,5000_2500_1_0.2_0.1_100,
276,-11.914880053467812,45,5000_2500_1_0.2_0.1_100,
277,-11.91488005346781,45,5000_2500_1_0.2_0.1_100,
278,-12.089950671910664,46,5000_2500_1_0.2_0.1_100,
279,-12.089950671910664,46,5000_2500_1_0.2_0.1_100,
280,-12.089950671910664,46,5000_2500_1_0.2_0.1_100,
281,-12.089950671910664,46,5000_2500_1_0.2_0.1_100,
282,-12.089950671910664,46,5000_2500_1_0.2_0.1_100,
283,-12.089950671910664,46,5000_2500_1_0.2_0.1_100,
284,-12.089950671910664,46,5000_2500_1_0.2_0.1_100,
285,-12.089950671910664,46,5000_2500_1_0.2_0.1_100,
286,-12.089950671910664,46,5000_2500_1_0.2_0.1_100,
287,-12.089950671910664,46,5000_2500_1_0.2_0.1_100,
288,-12.089950671910664,46,5000_2500_1_0.2_0.1_100,
289,-12.089950671910664,46,5000_2500_1_0.2_0.1_100,
290,-12.507407087857446,47,5000_2500_1_0.2_0.1_100,
291,-12.714371070072392,48,5000_2500_1_0.2_0.1_100,
292,-12.71437107007239,48,5000_2500_1_0.2_0.1_100,
293,-12.71437107007239,48,5000_2500_1_0.2_0.1_100,
294,-12.71437107007239,48,5000_2500_1_0.2_0.1_100,
295,-12.71437107007239,48,5000_2500_1_0.2_0.1_100,
296,-12.71437107007239,48,5000_2500_1_0.2_0.1_100,
297,-12.71437107007239,48,5000_2500_1_0.2_0.1_100,
298,-12.71437107007239,48,5000_2500_1_0.2_0.1_100,
299,-12.9306374449485,49,5000_2500_1_0.2_0.1_100,
300,-13.406934360909014,50,5000_2500_1_0.2_0.1_100,
301,-13.406934360909014,50,5000_2500_1_0.2_0.1_100,
302,-13.406934360909014,50,5000_2500_1_0.2_0.1_100,
303,-13.406934360909014,50,5000_2500_1_0.2_0.1_100,
304,-13.406934360909014,50,5000_2500_1_0.2_0.1_100,
305,-13.406934360909014,50,5000_2500_1_0.2_0.1_100,
306,-13.406934360909014,50,5000_2500_1_0.2_0.1_100,
307,-13.406934360909014,50,5000_2500_1_0.2_0.1_100,
308,-13.406934360909018,50,5000_2500_1_0.2_0.1_100,
309,-13.40693436090902,50,5000_2500_1_0.2_0.1_100,
310,-13.40693436090902,50,5000_2500_1_0.2_0.1_100,
311,-13.40693436090902,50,5000_2500_1_0.2_0.1_100,
312,-13.40693436090902,50,5000_2500_1_0.2_0.1_100,
313,-13.40693436090902,50,5000_2500_1_0.2_0.1_100,
314,-13.40693436090902,50,5000_2500_1_0.2_0.1_100,
315,-13.675970771758468,51,5000_2500_1_0.2_0.1_100,
316,-13.675970771758465,51,5000_2500_1_0.2_0.1_100,
317,-13.675970771758465,51,5000_2500_1_0.2_0.1_100,
318,-14.119673387435746,52,5000_2500_1_0.2_0.1_100,
319,-14.11967338743575,52,5000_2500_1_0.2_0.1_100,
320,-14.11967338743575,52,5000_2500_1_0.2_0.1_100,
321,-14.119673387435746,52,5000_2500_1_0.2_0.1_100,
322,-14.119673387435745,52,5000_2500_1_0.2_0.1_100,
323,-14.119673387435745,52,5000_2500_1_0.2_0.1_100,
324,-14.119673387435746,52,5000_2500_1_0.2_0.1_100,
