parameters,avg_log_likelihood,max_log_likelihood,avg_network_size,max_network_size,std_log_likelihood,avg_degree_centrality,max_degree_centrality,num_nodes,num_edges,density
1000_500_1_0.3_0.1_50,-23.532544882715737,0.0,78.432,160,14.531168336765958,0.045037292025243834,0.0963855421686747,84,157,0.022518646012621917
1000_500_1_0.3_0.2_100,-30.264601857092387,-0.2889375651641121,102.171,198,16.307964065665654,0.05479059093516926,0.12048192771084337,84,191,0.027395295467584624
1000_500_1_0.3_0.2_50,-24.12568003945886,0.0,85.541,172,13.721739128246663,0.04819277108433736,0.13253012048192772,84,168,0.024096385542168676
1000_500_5_0.2_0.1_100,-24.31155056871476,0.0,82.808,168,14.591652834519294,0.047045324153757895,0.10843373493975904,84,164,0.023522662076878944
1000_500_5_0.2_0.1_50,-25.895090780157282,-0.4582784104607115,91.578,174,13.649372284448454,0.04847963281698223,0.12048192771084337,84,169,0.024239816408491106
1000_500_5_0.2_0.2_100,-20.611983024536492,0.0,70.851,154,13.773263123084906,0.043491037320011784,0.12195121951219512,83,148,0.021745518660005878
1000_500_5_0.2_0.2_50,-30.531406925800834,0.0,102.966,191,17.21988033816264,0.05278255880665522,0.12048192771084337,84,184,0.026391279403327597
1000_500_5_0.3_0.1_100,-26.459226177602766,0.0,87.788,172,14.650333439608582,0.04907434616514842,0.13414634146341464,83,167,0.0245371730825742
1000_500_5_0.3_0.1_50,-24.88554578050027,0.0,91.565,175,14.291275836923283,0.048479632816982234,0.12048192771084337,84,169,0.024239816408491106
1000_500_5_0.3_0.2_100,-26.309337511725808,-0.1016034665694195,87.801,186,16.039273330736783,0.05042016806722685,0.10714285714285714,85,180,0.025210084033613446
1000_500_5_0.3_0.2_50,-23.1255069398157,0.0,76.72,162,13.261929047233426,0.04388984509466441,0.0963855421686747,84,153,0.021944922547332185
5000_2500_1_0.2_0.1_100,-129.0589067413985,0.0,449.1814,927,76.98418363049619,0.22745098039215664,0.3214285714285714,85,812,0.11372549019607843
5000_2500_1_0.2_0.1_50,-121.91726557127451,0.0,418.2252,842,69.19654207027654,0.20700280112044808,0.30952380952380953,85,739,0.10350140056022408
5000_2500_1_0.2_0.2_100,-133.86936253377456,-0.2269147686318166,448.2238,915,78.91317739248754,0.22521008403361345,0.34523809523809523,85,804,0.11260504201680673
