node_a,node_b,weight
190,221,0.6016883553946182
45,15,0.5367273084382232
347,386,0.7189460476787954
195,243,0.9525430043271068
34,431,0.6493916690050784
193,301,0.6587202007528231
368,395,0.8286648622375793
60,215,0.655046531848061
79,386,0.7550777116130317
243,301,0.9190046184795947
431,388,0.5606980926625756
221,326,0.8962373404018072
53,270,0.8544542032622334
305,299,0.918444165621079
156,221,0.5786700125470514
60,221,0.8422890468022782
329,432,0.7012920015805857
37,173,0.539048154314803
301,329,0.6135508155583438
124,270,0.9331892360301747
32,426,0.9146800501882058
37,426,0.7603513174404015
121,413,0.6739138228913771
215,353,0.6217032585795675
195,431,0.5624147353412636
221,293,0.7982124659899191
175,283,0.7276754179120815
53,181,1.014618716211964
177,225,0.7703889585947302
368,387,0.9109159347553324
125,347,0.6890031545379991
199,319,0.9353576931312901
36,58,0.5155256691272495
83,105,0.627603513174404
136,413,0.9109238349974957
34,126,0.7754077791718946
380,273,0.7979924717691342
110,283,0.9458940442460567
329,353,0.6685075539178114
105,243,0.7641154328732748
368,299,0.8598329083509795
175,326,0.7153631528606998
216,293,0.7667717249881634
221,270,0.6863275900372247
58,305,0.8177603560270933
94,177,0.7878153518132593
221,243,0.8130489335006273
190,384,0.6217818481498858
32,426,0.8604625861199874
156,301,0.6050188205771644
31,387,0.8715810519027235
34,121,0.7565872020075283
190,242,0.7598875018328858
201,431,0.5899623588456713
243,380,0.7681715782376193
223,442,0.7289542810344918
173,368,0.7653131705332417
83,202,0.47151671045130306
223,283,0.6246866419384957
124,368,0.7767613757202798
244,301,0.9183932864185895
190,225,0.6972859496817678
177,319,0.8206143039802241
88,158,0.4704304037595087
121,246,0.6376268681332545
121,234,0.8839154993389896
82,305,0.9655629843711729
181,380,0.912427624672185
440,270,0.8417229463195662
126,246,0.8987028480419189
2,137,0.7603513174404015
83,413,0.7294152824354414
311,368,0.8469259723964868
242,386,0.8302729926103558
93,199,0.7349235296473795
83,225,0.6754518415036901
350,386,0.7061236051890061
426,273,0.7445657266531559
201,380,0.6536801334412273
125,433,0.6240120172590337
329,368,0.677712066356793
34,153,0.7490589711417817
193,272,0.6087829360100376
273,270,0.7488418952030484
121,193,0.6566076158864163
177,243,0.9289388580767214
221,413,0.803513174404015
216,395,0.8662183897522278
94,190,0.6609034403887477
125,181,0.7619603260291627
36,301,0.6454203262233374
221,353,0.722265950452537
79,221,0.5736883562176237
215,395,0.601175037040822
201,225,0.6061061368577203
32,272,0.7137438272543829
36,244,0.6915145453199226
173,380,0.7001254705144291
53,93,0.8265413428766021
177,350,0.8431618569636136
329,386,0.5557556418559744
319,387,0.7115498817224325
2,299,0.986252214486551
123,242,0.5800251013229295
158,426,0.8464875630094997
177,195,0.835633626097867
202,440,0.6042440139465858
244,380,0.8017427630403209
126,234,0.8081807393644475
136,353,0.850835162573464
89,246,0.6664278381234531
195,225,0.897301876306996
158,234,0.5724999895170528
88,301,0.596057602549607
181,326,0.9475650702517794
124,190,0.6808479630634808
134,244,0.8382958167003705
53,368,1.0225144874649974
32,175,0.8634874068373014
89,242,0.8974457338574879
126,311,0.7191969887076538
45,305,0.7859979341300158
58,125,0.6228356336260978
319,442,0.8281053952321205
173,326,0.6228448297067535
45,246,0.5745852969491847
177,243,0.7104335748659523
305,440,0.9989377854729568
89,395,0.8148055207026349
60,433,0.7836771997743966
121,193,0.5252066849084556
110,329,0.6368504574198933
153,181,0.7801785809871891
134,223,0.683847981893508
125,244,0.5695931463860862
190,387,0.7169385194479297
216,301,0.820130856369413
32,126,0.8110414052697615
124,195,0.8017565872020075
440,270,0.9011274864864456
105,293,0.8393858836710338
89,93,0.7421323841451811
368,386,0.9276292806275741
32,242,0.8383939774153074
215,413,0.6544924006862265
94,319,0.7227101631116688
126,431,0.48264383316420983
82,243,0.8092848180677541
58,432,0.7490589711417817
31,329,0.6210790464240903
216,442,1.0640964331474927
301,305,1.0407529030921123
34,124,0.8345961613063689
380,387,0.8624843161856963
273,432,0.7052589026690561
353,432,0.767879548306148
31,153,0.5960837410418631
32,121,0.6729566177376874
105,368,0.7806447893036366
2,283,0.7940494251295687
244,380,1.0269862318239558
293,380,0.7016784493278087
386,384,0.960933920940571
190,243,0.6606705321577017
58,137,0.749758721881331
242,433,0.8162968904152154
2,22,0.9185739046633118
215,242,0.7720765190366233
173,368,0.6343294041777089
301,270,0.9518957308679398
53,347,0.7302383939774153
31,246,0.8775612683783122
193,442,0.7001254705144291
305,426,0.8161999733388059
246,283,0.8227143923262713
125,301,0.7199064069135637
226,364,0.8580710597819811
126,395,0.7353496895189249
190,305,0.7877038895859473
242,364,0.6813048933500627
45,299,0.7339616362788111
216,352,0.7879548306148055
136,216,0.7247199781850722
225,433,0.7565872020075283
53,432,0.7498798845385912
88,387,0.559050287700747
32,364,0.7377666248431619
201,387,0.8723059801157169
126,299,0.6857158076629329
173,181,0.5676111686110148
293,442,0.768263658120418
122,347,0.7204707947860514
158,15,0.7121890013145492
34,440,0.9978928440501333
202,326,0.5355004124933692
136,442,0.8318695106649937
243,387,0.7909084096889505
175,181,0.918444165621079
350,387,0.8878869834039064
79,395,0.736392625818333
221,305,0.8921953757730702
122,442,0.8478471808789153
31,380,0.8500294387294512
82,173,0.6193224592220828
37,215,0.5947302383939774
31,32,0.9702740023879594
126,137,0.5990346599327638
158,195,0.6935386432765217
34,433,0.7036409260304124
31,270,0.886482534838501
31,124,0.7925643566689092
123,243,0.6437552700788903
94,326,0.7244667503136762
272,326,0.6233609850549101
137,426,0.6540051177599269
105,305,0.6598431437287404
195,364,0.736635189754775
124,134,0.5825969582422857
31,175,0.9824188022534449
93,216,0.8130489335006273
243,270,0.8619824341279799
82,326,0.736377077960026
216,272,0.7230418710962114
53,58,0.784027952476481
181,442,0.8156596938898755
137,347,0.617314930991217
122,347,0.707904642409034
301,387,0.8250492926338339
32,431,0.6701755761238445
79,216,0.7558442770996426
37,158,0.5617253951845502
173,395,0.6700125470514429
153,352,0.6528426704788937
126,137,0.6967046242286781
293,353,0.7830321397624997
32,283,0.8318695106649937
137,202,0.5303115133764298
31,387,0.6618106008568575
202,272,0.5417094610098205
353,326,0.7528230865746549
83,433,0.6878293601003764
83,388,0.6671675275864412
123,137,0.5127487697221607
83,89,0.738898047117318
93,125,0.5609385064998408
243,431,0.7647942979255556
216,226,0.8809575421351096
234,22,0.8863806932709569
173,440,0.8156576612933013
58,347,0.5954582199027446
201,388,0.6849531005243495
380,364,0.7573180399105707
79,83,0.5789787300304382
137,395,0.6088630095789321
226,273,0.9400907982914187
2,431,0.6542962032636627
