iteration,log_likelihood,network_size
114,-8.525281274044604,25
115,-8.525281274044605,25
116,-8.525281274044605,25
117,-8.525281274044604,25
118,-9.01377346309696,26
119,-9.01377346309696,26
120,-9.386529700132472,27
121,-9.386529700132472,27
122,-9.386529700132472,27
123,-9.386529700132472,27
124,-9.386529700132472,27
125,-9.386529700132472,27
126,-9.386529700132474,27
127,-9.386529700132474,27
128,-9.386529700132474,27
129,-9.386529700132474,27
130,-9.386529700132474,27
131,-9.95325981880257,28
132,-9.95325981880257,28
133,-9.95325981880257,28
134,-9.95325981880257,28
135,-9.953259818802568,28
136,-9.953259818802568,28
137,-9.953259818802566,28
138,-10.107326854901764,29
139,-10.107326854901764,29
140,-10.643137898384813,30
141,-10.643137898384813,30
142,-10.643137898384813,30
143,-10.643137898384813,30
144,-10.643137898384813,30
145,-10.643137898384813,30
146,-10.643137898384813,30
147,-10.643137898384815,30
148,-10.643137898384815,30
149,-10.917112590874197,31
150,-10.917112590874197,31
151,-10.917112590874197,31
152,-10.917112590874197,31
153,-10.917112590874197,31
154,-10.917112590874197,31
155,-11.124076573089143,32
156,-11.124076573089143,32
157,-11.124076573089143,32
158,-11.124076573089143,32
159,-11.124076573089143,32
160,-11.124076573089143,32
161,-11.124076573089145,32
162,-11.124076573089145,32
163,-11.124076573089145,32
164,-11.321823900200295,33
165,-11.321823900200293,33
166,-11.321823900200293,33
167,-11.590860311049742,34
168,-11.590860311049742,34
169,-11.590860311049742,34
170,-11.590860311049743,34
171,-11.590860311049743,34
172,-11.590860311049743,34
173,-11.590860311049743,34
174,-11.590860311049742,34
175,-11.590860311049742,34
176,-11.590860311049742,34
177,-11.590860311049742,34
178,-11.590860311049742,34
179,-11.944850208829623,35
180,-11.944850208829623,35
181,-12.225115271339856,36
182,-12.535726559940004,37
183,-12.535726559940002,37
184,-12.535726559940002,37
185,-12.535726559940004,37
186,-12.684246946291857,38
187,-12.684246946291857,38
188,-12.684246946291857,38
189,-12.684246946291857,38
190,-12.684246946291857,38
191,-13.186742659069717,39
192,-13.186742659069719,39
193,-13.186742659069719,39
194,-13.186742659069717,39
195,-13.186742659069717,39
196,-13.186742659069719,39
197,-13.384489986180869,40
198,-13.81344078155163,41
199,-13.813440781551629,41
200,-13.813440781551629,41
201,-13.813440781551629,41
202,-14.18619701858714,42
203,-14.18619701858714,42
204,-14.491686219841322,43
205,-14.491686219841322,43
206,-14.671251227871478,44
207,-14.67125122787148,44
208,-14.67125122787148,44
209,-14.975038880306302,45
210,-14.975038880306302,45
211,-14.975038880306302,45
212,-14.975038880306302,45
213,-15.231997455421258,46
214,-15.231997455421258,46
215,-15.231997455421258,46
216,-15.231997455421258,46
217,-15.231997455421258,46
218,-15.231997455421258,46
219,-15.231997455421258,46
220,-15.231997455421258,46
221,-15.231997455421256,46
222,-15.231997455421256,46
223,-15.231997455421256,46
224,-15.231997455421256,46
225,-15.231997455421256,46
226,-15.23199745542126,46
227,-15.23199745542126,46
228,-15.23199745542126,46
229,-15.231997455421258,46
230,-15.23199745542126,46
231,-15.63245629500203,47
232,-15.957203312857985,48
233,-15.957203312857985,48
234,-15.957203312857986,48
235,-15.957203312857986,48
236,-16.211569533961548,49
237,-16.211569533961548,49
238,-16.211569533961548,49
239,-16.211569533961548,49
240,-16.211569533961544,49
241,-16.546787851683337,50
242,-16.546787851683337,50
243,-16.546787851683337,50
244,-16.546787851683337,50
245,-16.546787851683337,50
246,-16.546787851683337,50
247,-16.93348415304614,51
248,-16.93348415304614,51
249,-17.146640105508244,52
250,-17.146640105508244,52
251,-17.146640105508247,52
252,-17.146640105508247,52
253,-17.146640105508247,52
254,-17.146640105508247,52
255,-17.146640105508247,52
256,-17.146640105508247,52
257,-17.146640105508247,52
258,-17.146640105508247,52
259,-17.3910239542341,53
260,-17.391023954234097,53
261,-17.391023954234097,53
262,-17.3910239542341,53
263,-17.391023954234097,53
264,-17.391023954234097,53
265,-17.391023954234097,53
266,-17.855272531680367,54
267,-17.855272531680367,54
268,-17.855272531680363,54
269,-17.855272531680363,54
270,-17.855272531680363,54
271,-17.855272531680363,54
272,-18.27845962233526,55
273,-18.27845962233526,55
274,-18.27845962233526,55
275,-18.27845962233526,55
276,-18.27845962233526,55
277,-18.27845962233526,55
278,-18.27845962233526,55
279,-18.60842858417164,56
280,-18.608428584171637,56
281,-18.801599244255932,57
282,-18.801599244255932,57
283,-18.801599244255932,57
284,-19.027255359480712,58
285,-19.027255359480712,58
286,-19.57601436115009,59
287,-19.576014361150094,59
288,-20.085168442263004,60
289,-20.085168442263004,60
290,-20.085168442263004,60
291,-20.085168442263004,60
292,-20.085168442263004,60
293,-20.085168442263004,60
294,-20.085168442263004,60
295,-20.085168442263004,60
296,-20.085168442263004,60
297,-20.085168442263004,60
298,-20.085168442263004,60
299,-20.085168442263004,60
300,-20.085168442263008,60
301,-20.085168442263008,60
302,-20.085168442263008,60
303,-20.085168442263008,60
304,-20.085168442263008,60
305,-20.401961069225422,61
306,-20.401961069225425,61
307,-20.908613063962516,62
308,-20.908613063962516,62
309,-20.908613063962516,62
310,-21.19889156127508,63
311,-21.370083314643235,64
312,-21.370083314643235,64
313,-21.37008331464323,64
314,-21.37008331464323,64
315,-21.37008331464323,64
316,-21.37008331464323,64
317,-21.776175971941413,65
318,-21.776175971941413,65
319,-21.987470304257048,66
320,-21.987470304257048,66
321,-21.987470304257048,66
322,-21.987470304257048,66
323,-22.37121566286655,67
324,-22.37121566286655,67
325,-22.37121566286655,67
326,-22.37121566286655,67
327,-22.371215662866547,67
328,-22.371215662866543,67
329,-22.371215662866543,67
330,-22.371215662866543,67
331,-22.371215662866543,67
332,-22.498136937417414,68
333,-22.498136937417414,68
334,-22.498136937417414,68
335,-22.498136937417414,68
336,-22.629340873759798,69
337,-22.814024062463933,70
338,-22.814024062463933,70
339,-22.814024062463933,70
340,-22.814024062463933,70
341,-22.814024062463933,70
342,-22.814024062463933,70
343,-22.814024062463933,70
344,-22.814024062463933,70
345,-22.814024062463936,70
346,-22.814024062463933,70
347,-22.814024062463933,70
348,-22.814024062463933,70
349,-22.814024062463933,70
350,-22.814024062463933,70
351,-23.329040806934017,71
352,-23.329040806934017,71
353,-23.329040806934017,71
354,-23.329040806934017,71
355,-23.540645168704895,72
356,-23.540645168704895,72
357,-23.5406451687049,72
358,-23.5406451687049,72
359,-23.5406451687049,72
360,-23.540645168704895,72
361,-23.540645168704895,72
362,-23.540645168704895,72
363,-23.540645168704895,72
364,-23.540645168704895,72
365,-23.540645168704895,72
366,-23.540645168704895,72
367,-23.540645168704895,72
368,-23.540645168704895,72
369,-23.540645168704895,72
370,-23.540645168704895,72
371,-23.96383225935979,73
372,-23.96383225935979,73
373,-23.96383225935979,73
374,-23.96383225935979,73
375,-24.12967799465022,74
376,-24.129677994650223,74
377,-24.129677994650223,74
378,-24.129677994650223,74
379,-24.129677994650223,74
380,-24.47017336947212,75
381,-24.47017336947212,75
382,-24.47017336947212,75
383,-24.47017336947212,75
384,-24.47017336947212,75
385,-24.47017336947212,75
386,-24.47017336947212,75
387,-24.47017336947212,75
388,-24.470173369472125,75
389,-24.470173369472125,75
390,-24.47017336947212,75
391,-24.47017336947212,75
392,-24.47017336947212,75
393,-24.787310527014984,76
394,-24.787310527014984,76
395,-24.787310527014984,76
396,-25.189643781389822,77
397,-25.448876192143928,78
398,-25.448876192143928,78
399,-25.86595172825375,79
400,-25.86595172825375,79
401,-25.86595172825375,79
402,-25.86595172825375,79
403,-26.385599085080745,80
404,-26.38559908508075,80
405,-26.38559908508075,80
406,-26.38559908508075,80
407,-26.38559908508075,80
408,-26.710346102936704,81
409,-26.710346102936704,81
410,-26.710346102936704,81
411,-26.710346102936704,81
412,-26.93129632712466,82
413,-26.931296327124663,82
414,-26.931296327124663,82
415,-26.931296327124663,82
416,-26.931296327124663,82
417,-27.410425533062234,83
418,-27.410425533062234,83
419,-27.410425533062234,83
420,-27.6471489549253,84
421,-27.6471489549253,84
422,-27.647148954925296,84
423,-27.647148954925296,84
424,-27.647148954925296,84
425,-27.647148954925296,84
426,-27.647148954925296,84
427,-27.647148954925296,84
428,-27.647148954925296,84
429,-27.647148954925296,84
430,-27.647148954925296,84
431,-27.647148954925296,84
432,-27.647148954925296,84
433,-27.647148954925296,84
434,-27.647148954925296,84
435,-27.647148954925296,84
436,-27.647148954925296,84
437,-27.647148954925296,84
438,-28.09949262986713,85
439,-28.09949262986713,85
440,-28.09949262986713,85
441,-28.393467989060525,86
442,-28.39346798906052,86
443,-28.39346798906052,86
444,-28.801445661054192,87
445,-28.801445661054192,87
446,-29.196302245087125,88
447,-29.196302245087125,88
448,-29.196302245087125,88
449,-29.196302245087125,88
450,-29.196302245087125,88
451,-29.196302245087125,88
452,-29.19630224508713,88
453,-29.357714693968287,89
454,-29.357714693968287,89
455,-29.357714693968287,89
456,-29.357714693968287,89
457,-29.357714693968287,89
458,-29.357714693968287,89
459,-29.357714693968287,89
460,-29.484635968519157,90
461,-29.484635968519157,90
462,-29.484635968519157,90
463,-29.809382986375113,91
464,-29.809382986375113,91
465,-29.809382986375113,91
466,-30.07841939722456,92
467,-30.07841939722456,92
468,-30.07841939722456,92
469,-30.07841939722456,92
470,-30.07841939722456,92
471,-30.07841939722456,92
472,-30.07841939722456,92
473,-30.07841939722456,92
474,-30.07841939722456,92
475,-30.07841939722456,92
476,-30.07841939722456,92
477,-30.07841939722456,92
